Date : 2020-06-10 16:40:02
Directory : c:\projects\salesImitation
Total : 358 files,  27614 codes, 783 comments, 1913 blanks, all 30310 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| XML             |         83 |     14,740 |          1 |         99 |     14,840 |
| C#              |        217 |      6,937 |        140 |      1,078 |      8,155 |
| CSS             |         21 |      5,008 |        507 |        664 |      6,179 |
| SQL             |          2 |        657 |         12 |         41 |        710 |
| JSON            |          6 |        140 |          0 |          4 |        144 |
| aspnetcorerazor |          7 |         89 |          0 |         11 |        100 |
| JavaScript      |         18 |         39 |        123 |         15 |        177 |
| HTML            |          3 |          3 |          0 |          0 |          3 |
| Markdown        |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                     |        358 |     27,614 |        783 |      1,913 |     30,310 |
| SalesImitation                                                                                                                                                                        |        357 |     27,613 |        783 |      1,912 |     30,308 |
| SalesImitation\src                                                                                                                                                                    |        357 |     27,613 |        783 |      1,912 |     30,308 |
| SalesImitation\src\SI.application                                                                                                                                                     |        111 |      2,119 |         17 |        351 |      2,487 |
| SalesImitation\src\SI.application\Abstractions                                                                                                                                        |          1 |         23 |          0 |          3 |         26 |
| SalesImitation\src\SI.application\Administrators                                                                                                                                      |          5 |         75 |          0 |          9 |         84 |
| SalesImitation\src\SI.application\Administrators\Commands                                                                                                                             |          5 |         75 |          0 |          9 |         84 |
| SalesImitation\src\SI.application\Administrators\Commands\LoginAdministrator                                                                                                          |          3 |         47 |          0 |          4 |         51 |
| SalesImitation\src\SI.application\Administrators\Commands\RegisterAdministrator                                                                                                       |          2 |         28 |          0 |          5 |         33 |
| SalesImitation\src\SI.application\Categories                                                                                                                                          |         13 |        214 |          0 |         34 |        248 |
| SalesImitation\src\SI.application\Categories\Commands                                                                                                                                 |          6 |         95 |          0 |         15 |        110 |
| SalesImitation\src\SI.application\Categories\Commands\SaveNewCategory                                                                                                                 |          2 |         36 |          0 |          5 |         41 |
| SalesImitation\src\SI.application\Categories\Commands\SetIsActiveToCategory                                                                                                           |          2 |         26 |          0 |          5 |         31 |
| SalesImitation\src\SI.application\Categories\Commands\UpdateCategory                                                                                                                  |          2 |         33 |          0 |          5 |         38 |
| SalesImitation\src\SI.application\Categories\Queries                                                                                                                                  |          7 |        119 |          0 |         19 |        138 |
| SalesImitation\src\SI.application\Categories\Queries\GetAllCategories                                                                                                                 |          2 |         27 |          0 |          5 |         32 |
| SalesImitation\src\SI.application\Categories\Queries\GetCategoriesListbyIDs                                                                                                           |          3 |         61 |          0 |          8 |         69 |
| SalesImitation\src\SI.application\Categories\Queries\GetCategory                                                                                                                      |          2 |         31 |          0 |          6 |         37 |
| SalesImitation\src\SI.application\Contents                                                                                                                                            |          2 |         18 |          0 |          2 |         20 |
| SalesImitation\src\SI.application\CurrentMissions                                                                                                                                     |          8 |        208 |          5 |         26 |        239 |
| SalesImitation\src\SI.application\CurrentMissions\Commands                                                                                                                            |          6 |        165 |          5 |         21 |        191 |
| SalesImitation\src\SI.application\CurrentMissions\Commands\BuyExtraTime                                                                                                               |          2 |         39 |          0 |          3 |         42 |
| SalesImitation\src\SI.application\CurrentMissions\Commands\SkipCurrentMission                                                                                                         |          2 |         38 |          0 |          3 |         41 |
| SalesImitation\src\SI.application\CurrentMissions\Commands\StartNewMission                                                                                                            |          2 |         88 |          5 |         15 |        108 |
| SalesImitation\src\SI.application\CurrentMissions\Queries                                                                                                                             |          2 |         43 |          0 |          5 |         48 |
| SalesImitation\src\SI.application\CurrentMissions\Queries\GetCurrentMission                                                                                                           |          2 |         43 |          0 |          5 |         48 |
| SalesImitation\src\SI.application\EventHandlers                                                                                                                                       |          2 |         54 |          0 |          4 |         58 |
| SalesImitation\src\SI.application\EventHandlers\CurrentMissions                                                                                                                       |          1 |         34 |          0 |          2 |         36 |
| SalesImitation\src\SI.application\FAQs                                                                                                                                                |          2 |         23 |          0 |          2 |         25 |
| SalesImitation\src\SI.application\Missions                                                                                                                                            |         10 |        166 |          0 |         32 |        198 |
| SalesImitation\src\SI.application\Missions\Commands                                                                                                                                   |          4 |         78 |          0 |         15 |         93 |
| SalesImitation\src\SI.application\Missions\Commands\SaveNewMission                                                                                                                    |          2 |         39 |          0 |          8 |         47 |
| SalesImitation\src\SI.application\Missions\Commands\UpdateMission                                                                                                                     |          2 |         39 |          0 |          7 |         46 |
| SalesImitation\src\SI.application\Missions\Queries                                                                                                                                    |          6 |         88 |          0 |         17 |        105 |
| SalesImitation\src\SI.application\Missions\Queries\GetAllMissions                                                                                                                     |          2 |         27 |          0 |          5 |         32 |
| SalesImitation\src\SI.application\Missions\Queries\GetMission                                                                                                                         |          2 |         31 |          0 |          5 |         36 |
| SalesImitation\src\SI.application\Missions\Queries\GetMissionByLevel                                                                                                                  |          2 |         30 |          0 |          7 |         37 |
| SalesImitation\src\SI.application\Notifications                                                                                                                                       |          5 |         93 |          0 |          8 |        101 |
| SalesImitation\src\SI.application\Notifications\Commands                                                                                                                              |          2 |         51 |          0 |          4 |         55 |
| SalesImitation\src\SI.application\Notifications\Commands\SaveStartMissionNotification                                                                                                 |          2 |         51 |          0 |          4 |         55 |
| SalesImitation\src\SI.application\Notifications\Queries                                                                                                                               |          3 |         42 |          0 |          4 |         46 |
| SalesImitation\src\SI.application\Partners                                                                                                                                            |         11 |        215 |          0 |         55 |        270 |
| SalesImitation\src\SI.application\Partners\Commands                                                                                                                                   |          6 |        136 |          0 |         44 |        180 |
| SalesImitation\src\SI.application\Partners\Commands\SaveNewPartner                                                                                                                    |          2 |         56 |          0 |         19 |         75 |
| SalesImitation\src\SI.application\Partners\Commands\SetIsActiveToPartner                                                                                                              |          2 |         26 |          0 |          6 |         32 |
| SalesImitation\src\SI.application\Partners\Commands\UpdatePartner                                                                                                                     |          2 |         54 |          0 |         19 |         73 |
| SalesImitation\src\SI.application\Partners\Queries                                                                                                                                    |          5 |         79 |          0 |         11 |         90 |
| SalesImitation\src\SI.application\Partners\Queries\GetPartner                                                                                                                         |          2 |         31 |          0 |          5 |         36 |
| SalesImitation\src\SI.application\Partners\Queries\GetRangeOfPartners                                                                                                                 |          3 |         48 |          0 |          6 |         54 |
| SalesImitation\src\SI.application\Players                                                                                                                                             |         16 |        338 |          0 |         31 |        369 |
| SalesImitation\src\SI.application\Players\Commands                                                                                                                                    |         10 |        201 |          0 |         17 |        218 |
| SalesImitation\src\SI.application\Players\Commands\LogOutPlayer                                                                                                                       |          2 |         27 |          0 |          4 |         31 |
| SalesImitation\src\SI.application\Players\Commands\LoginPlayer                                                                                                                        |          3 |         48 |          0 |          4 |         52 |
| SalesImitation\src\SI.application\Players\Commands\LoginWithFacebook                                                                                                                  |          3 |         89 |          0 |          5 |         94 |
| SalesImitation\src\SI.application\Players\Commands\RegisterPlayer                                                                                                                     |          2 |         37 |          0 |          4 |         41 |
| SalesImitation\src\SI.application\Players\Queries                                                                                                                                     |          6 |        137 |          0 |         14 |        151 |
| SalesImitation\src\SI.application\Players\Queries\GetLeaderboard                                                                                                                      |          3 |         77 |          0 |          7 |         84 |
