"filename", "language", "Markdown", "XML", "C#", "JSON", "aspnetcorerazor", "HTML", "SQL", "CSS", "JavaScript", "comment", "blank", "total"
"c:\projects\salesImitation\SalesImitation\src\SI.application\EventHandlers\CurrentMissions\CreateCurrentMissionEventHandler.cs", "C#", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\projects\salesImitation\SalesImitation\src\SI.application\EventHandlers\DomainEvent.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\FAQs\FAQModel.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\projects\salesImitation\SalesImitation\src\SI.application\FAQs\IFAQsRepository.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Commands\SaveNewMission\SaveNewMissionHandler.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Commands\SaveNewMission\SaveNewMissionRequest.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Commands\UpdateMission\UpdateMissionHandler.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Commands\UpdateMission\UpdateMissionRequest.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Queries\GetAllMissions\GetAllMissionsHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Queries\GetAllMissions\GetAllMissionsRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Queries\GetMissionByLevel\GetMissionByLevelHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Queries\GetMissionByLevel\GetMissionByLevellRequest.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Queries\GetMission\GetMissionHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Queries\GetMission\GetMissionRequest.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.application\Notifications\Commands\SaveStartMissionNotification\SaveStartMissionNotificationHandler.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\projects\salesImitation\SalesImitation\src\SI.application\Notifications\Commands\SaveStartMissionNotification\SaveStartMissionNotificationRequest.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\projects\salesImitation\SalesImitation\src\SI.application\Notifications\Queries\GetNewNotificationsHandler.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
